,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",1685.0,0.8330265589900462,0.3542092537208074,1685.0,0.8376146281061705,0.35112772192278163,1685.0,0.8406859038083809,0.35299380197318,1685.0,0.84297725024728,0.3043519649630824,1685.0,0.823707996347899,0.3638086920654148,1685.0,0.8330265589900462,0.3542092537208074,1685.0,0.8523021407292848,0.3428434665271296,1685.0,0.823707996347899,0.3638086920654148,1685.0,0.9026706231454006,0.2964937444472402,1685.0,0.9281899109792285,0.25824984131550105,1685.0,0.9026706231454006,0.2964937444472402
"1(p,(p,(e)))2p",1729.0,0.8302640404044545,0.3255279654795737,1729.0,0.860018697687274,0.319603106886476,1729.0,0.8370733301048371,0.32859281604229384,1729.0,0.8135627530364373,0.17559332856856144,1729.0,0.8049884629126322,0.3459626156994357,1729.0,0.8302640404044545,0.3255279654795737,1729.0,0.889074491590151,0.29974341744701016,1729.0,0.8049884629126322,0.3459626156994357,1729.0,0.9809138230190861,0.13686756101810643,1729.0,0.9913244650086755,0.09276447106564666,1729.0,0.9809138230190861,0.13686756101810643
"10(i,(n,(p,(e))),(p,(p,(e))))pin",1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0,1671.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0,1709.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0,1728.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0,1773.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",1693.0,0.0006342591482618902,0.024368689472132263,1693.0,0.0011813349084465446,0.034360394642180346,1693.0,0.0006132983911666928,0.024320933152604068,1693.0,0.00038000983068909824,0.012053640967001374,1693.0,0.0006132983911666928,0.024320933152604068,1693.0,0.0006342591482618902,0.024368689472132263,1693.0,0.0011813341331961592,0.03436037209319223,1693.0,0.0006132983911666928,0.024320933152604068,1693.0,0.0,0.0,1693.0,0.0,0.0,1693.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0,1698.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0,1683.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0,1700.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0,1696.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0,1793.0,0.0,0.0
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0,1789.0,0.0,0.0
all,22347.0,0.127097600505461,0.32741848804515133,22347.0,0.12978712921914326,0.3325153880784241,22347.0,0.12820037811986532,0.32993409043985633,22347.0,0.12653644888844243,0.3133049551361135,22347.0,0.12443779211520098,0.32417605744521427,22347.0,0.127097600505461,0.32741848804515133,22347.0,0.1331426545744716,0.33779228208414286,22347.0,0.12443779211520098,0.32417605744521427,22347.0,0.14395668322369892,0.35105365879546285,22347.0,0.14668635611043987,0.35380089099328765,22347.0,0.14395668322369892,0.35105365879546285
