,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",68.0,0.19782595846146267,0.3885038244442626,68.0,0.19508636788048553,0.3851966374654043,68.0,0.20607239272520603,0.39727094337699154,68.0,0.5686274509803921,0.2081173888147517,68.0,0.19126698198788994,0.38476446854580215,68.0,0.19782595846146267,0.3885038244442626,68.0,0.20774959577426913,0.39666399893615656,68.0,0.19126698198788994,0.38476446854580215,68.0,0.8823529411764706,0.3245852354403189,68.0,1.0,0.0,68.0,0.8823529411764706,0.3245852354403189
"1(p,(p,(e)))2p",68.0,0.08024416450603407,0.2611276936817538,68.0,0.09296976100381674,0.2752409567174367,68.0,0.09183947075823025,0.28264025974574025,68.0,0.6299019607843137,0.19390716914248982,68.0,0.07652962841236977,0.25950886306073984,68.0,0.08024416450603407,0.2611276936817538,68.0,0.10706484324342681,0.2963353459317623,68.0,0.07652962841236977,0.25950886306073984,68.0,0.8823529411764706,0.32458523544031886,68.0,1.0,0.0,68.0,0.8823529411764706,0.32458523544031886
"10(i,(n,(p,(e))),(p,(p,(e))))pin",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0032679738562091504,0.026948402781814776,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",68.0,0.00196078431372549,0.01616904166908886,68.0,0.014705882352941176,0.1212678125181665,68.0,0.0010504201680672268,0.008661986608440461,68.0,0.004201680672268907,0.034647946433761845,68.0,0.0010504201680672268,0.008661986608440461,68.0,0.00196078431372549,0.01616904166908886,68.0,0.014705857843178106,0.12126761040548249,68.0,0.0010504201680672268,0.008661986608440461,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",68.0,0.00196078431372549,0.01616904166908886,68.0,0.0010504201680672268,0.008661986608440461,68.0,0.014705882352941176,0.1212678125181665,68.0,0.006787330316742082,0.055969759623769155,68.0,0.0010504201680672268,0.008661986608440461,68.0,0.00196078431372549,0.01616904166908886,68.0,0.01470573529558822,0.12126659985216796,68.0,0.0010504201680672268,0.008661986608440461,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",68.0,0.0006839945280437756,0.005640363372937973,68.0,0.001633986928104575,0.013474201390907386,68.0,0.00043252595155709344,0.0035667003681813677,68.0,0.0058823529411764705,0.04850712500726658,68.0,0.00035014005602240897,0.002887328869480154,68.0,0.0006839945280437756,0.005640363372937973,68.0,0.001633986020334564,0.013474193905244108,68.0,0.00035014005602240897,0.002887328869480154,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",68.0,0.014705882352941176,0.12126781251816648,68.0,0.014705882352941176,0.12126781251816648,68.0,0.014705882352941176,0.12126781251816648,68.0,0.016659810777457835,0.07278414807139524,68.0,0.014705882352941176,0.12126781251816648,68.0,0.014705882352941176,0.12126781251816648,68.0,0.014705871040732685,0.12126771923530556,68.0,0.014705882352941176,0.12126781251816648,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.004524886877828054,0.03731317308251275,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.014705882352941176,0.12126781251816647
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
all,884.0,0.022875505267379435,0.14417890913360099,884.0,0.024627100052796645,0.14926785389688835,884.0,0.025292813408380226,0.15358391906539323,884.0,0.0953733420927991,0.23149637516080665,884.0,0.021919497934258285,0.14239093435616415,884.0,0.022875505267379435,0.14417890913360099,884.0,0.02773583763211766,0.1595298357818349,884.0,0.021919497934258285,0.14239093435616415,884.0,0.13574660633484162,0.34271318887652924,884.0,0.15384615384615385,0.3610054586802925,884.0,0.13687782805429866,0.34391290280732584
