,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",75.0,0.8691428571428571,0.30145645516675973,75.0,0.8666666666666667,0.3087804160651147,75.0,0.89,0.2942007036940158,75.0,0.8377777777777778,0.28602764169186834,75.0,0.8526666666666667,0.3228537355127466,75.0,0.8691428571428571,0.30145645516675973,75.0,0.8999981922790209,0.2847469332708966,75.0,0.8526666666666667,0.3228537355127466,75.0,0.9066666666666666,0.29285792761297375,75.0,0.96,0.19727878476642877,75.0,0.9066666666666666,0.29285792761297375
"1(p,(p,(e)))2p",74.0,0.8876380264202278,0.2886172677050321,74.0,0.9011992511992512,0.27723042534373377,74.0,0.8924736863955879,0.2931846048501718,74.0,0.8209459459459459,0.15768156674192715,74.0,0.8742756807559439,0.30066376283397267,74.0,0.8876380264202278,0.2886172677050321,74.0,0.9176067354170838,0.2690577048961191,74.0,0.8742756807559439,0.30066376283397267,74.0,1.0,0.0,74.0,1.0,0.0,74.0,1.0,0.0
"10(i,(n,(p,(e))),(p,(p,(e))))pin",57.0,0.024293643488689932,0.13903919383517493,57.0,0.03508771929824561,0.18563715383027588,57.0,0.021168906672138433,0.12950312323639113,57.0,0.01637426900584795,0.08754200964723814,57.0,0.021168906672138433,0.12950312323639113,57.0,0.024293643488689932,0.13903919383517493,57.0,0.035087684489041496,0.1856369696666692,57.0,0.021168906672138433,0.12950312323639113,57.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",68.0,0.05571800563476479,0.20754894390597456,68.0,0.05313543041737768,0.1969549988601826,68.0,0.058823529411764705,0.22074182537062237,68.0,0.029114676173499703,0.09737980222876234,68.0,0.04823346963306395,0.18748241912264663,68.0,0.05571800563476479,0.20754894390597456,68.0,0.05882341932299198,0.22074151801557007,68.0,0.04823346963306395,0.18748241912264663,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.04411764705882353,0.2068833061667868
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",75.0,0.05015873015873016,0.212895533493897,75.0,0.05333333333333334,0.2262104576963036,75.0,0.04745098039215686,0.2018045711735446,75.0,0.015238095238095238,0.06463155934180104,75.0,0.04745098039215686,0.2018045711735446,75.0,0.05015873015873016,0.212895533493897,75.0,0.05333331509579168,0.22621038034275406,75.0,0.04745098039215686,0.2018045711735446,75.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",67.0,0.1044776119402985,0.30818768180842854,67.0,0.1044776119402985,0.30818768180842854,67.0,0.1044776119402985,0.30818768180842854,67.0,0.021709633649932156,0.05940170910866366,67.0,0.1044776119402985,0.30818768180842854,67.0,0.1044776119402985,0.30818768180842854,67.0,0.10447757406152493,0.30818757007376024,67.0,0.1044776119402985,0.30818768180842854,67.0,0.0,0.0,67.0,0.0,0.0,67.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",64.0,0.03,0.1685041566064493,64.0,0.028935185185185185,0.1629133522368766,64.0,0.03125,0.17536809360305045,64.0,0.004807692307692308,0.026979706708161605,64.0,0.028935185185185185,0.1629133522368766,64.0,0.03,0.1685041566064493,64.0,0.031249987818595518,0.17536802524370076,64.0,0.028935185185185185,0.1629133522368766,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",81.0,0.02445842068483578,0.15468374138000465,81.0,0.024234110653863737,0.15328596667603528,81.0,0.024691358024691357,0.15614965913950218,81.0,0.007942674609341276,0.054882332111871344,81.0,0.024234110653863737,0.15328596667603528,81.0,0.02445842068483578,0.15468374138000465,81.0,0.02469134852801885,0.1561495990819641,81.0,0.024234110653863737,0.15328596667603528,81.0,0.0,0.0,81.0,0.0,0.0,81.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",71.0,0.06282015287121563,0.22091957188474443,71.0,0.08747220163083766,0.28033329447823674,71.0,0.05770983484619082,0.20775275234430798,71.0,0.057191634656423386,0.1439875483306924,71.0,0.05538821280625892,0.205831434842206,71.0,0.06282015287121563,0.22091957188474443,71.0,0.08884068068623985,0.2811783267739318,71.0,0.05538821280625892,0.205831434842206,71.0,0.0,0.0,71.0,0.0,0.0,71.0,0.09859154929577464,0.3002346500163206
"7(i,(p,(e)),(p,(p,(e))))pi",74.0,0.0013513513513513514,0.011624763874381928,74.0,0.0007112375533428164,0.0061182967759904885,74.0,0.013513513513513514,0.11624763874381928,74.0,0.004158004158004157,0.03576850422886746,74.0,0.0007112375533428164,0.0061182967759904885,74.0,0.0013513513513513514,0.011624763874381928,74.0,0.013513378379729716,0.11624647627905649,74.0,0.0007112375533428164,0.0061182967759904885,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",57.0,0.12710157665060876,0.3208853812903724,57.0,0.12698412698412698,0.33007804700522336,57.0,0.16884143084750058,0.3695049735434273,57.0,0.06894859526438474,0.15199273291953166,57.0,0.1203869613403995,0.3123965332552279,57.0,0.12710157665060876,0.3208853812903724,57.0,0.17543819329558766,0.3837218145731083,57.0,0.1203869613403995,0.3123965332552279,57.0,0.0,0.0,57.0,0.0,0.0,57.0,0.05263157894736842,0.2252817784447915
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",60.0,0.03378505552418596,0.17217532090143955,60.0,0.036309523809523805,0.18192869081442453,60.0,0.03180136919632718,0.16382799405337287,60.0,0.017777777777777778,0.07942037352798427,60.0,0.03125809633162575,0.16364506853813557,60.0,0.03378505552418596,0.17217532090143955,60.0,0.03630951232993561,0.18192863385606922,60.0,0.03125809633162575,0.16364506853813557,60.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0
all,893.0,0.1842549285493831,0.3791439687798737,893.0,0.1879021200821328,0.38484939821919945,893.0,0.18946018587588342,0.3858406413041197,893.0,0.15611416703242012,0.3252695979792315,893.0,0.1794280846584756,0.37446955244547536,893.0,0.1842549285493831,0.3791439687798737,893.0,0.1969641366221315,0.3952140186537141,893.0,0.1794280846584756,0.37446955244547536,893.0,0.1590145576707727,0.36589458651713497,893.0,0.16349384098544234,0.37002287412042234,893.0,0.17357222844344905,0.37895345708404315
