,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",137.0,0.2985826479666776,0.4442439334822423,137.0,0.3084810566562391,0.4540362849178809,137.0,0.2960326831667943,0.44306894359796056,137.0,0.5504866180048662,0.27589679684170665,137.0,0.28939438620632263,0.4407340449628374,137.0,0.2985826479666776,0.4442439334822423,137.0,0.3132542711025178,0.45645975579277126,137.0,0.28939438620632263,0.4407340449628374,137.0,0.6058394160583942,0.4904629300853344,137.0,1.0,0.0,137.0,0.6058394160583942,0.4904629300853344
"1(p,(p,(e)))2p",137.0,0.22415485138654298,0.39639638871131166,137.0,0.23767910246012436,0.40119816674938935,137.0,0.22594435251459952,0.40408681362289983,137.0,0.6714111922141119,0.20095715515289972,137.0,0.21219241725106067,0.38956285459984047,137.0,0.22415485138654298,0.39639638871131166,137.0,0.2471550055372203,0.4124998214474539,137.0,0.21219241725106067,0.38956285459984047,137.0,0.8540145985401459,0.35438733349014717,137.0,0.9781021897810219,0.1468869755904545,137.0,0.8540145985401459,0.35438733349014717
"10(i,(n,(p,(e))),(p,(p,(e))))pin",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0032441200324412004,0.026750975926842373,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",137.0,0.002354030302183586,0.023433547107742963,137.0,0.014598540145985401,0.12037939167079065,137.0,0.0013354623013906981,0.013490427295457246,137.0,0.004171011470281543,0.03439411190594018,137.0,0.0013354623013906981,0.013490427295457246,137.0,0.002354030302183586,0.023433547107742963,137.0,0.014598532462547264,0.12037932831324945,137.0,0.0013354623013906981,0.013490427295457246,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.015093365200707407,0.07339710312697437,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.014598540145985401,0.12037939167079068
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
all,1781.0,0.04039165612733878,0.19032321653361436,1781.0,0.043135284558642226,0.19744050860428305,1781.0,0.04025480753713727,0.1911586094318127,1781.0,0.09572356207095448,0.24151380759415494,1781.0,0.03868632813529031,0.1867197765168613,1781.0,0.04039165612733878,0.19032321653361436,1781.0,0.044231369930945036,0.20084861950538807,1781.0,0.03868632813529031,0.1867197765168613,1781.0,0.11229646266142616,0.31581952201768687,1781.0,0.15216170690623246,0.3592784415398273,1781.0,0.11341942728804043,0.3171938723140856
