,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",27.0,0.42126480221718315,0.4865333220505706,27.0,0.4187109187109187,0.48177795880521673,27.0,0.42690058479532167,0.49342217723668513,27.0,0.5555555555555556,0.2531848417709167,27.0,0.40994268077601415,0.48374811386761174,27.0,0.42126480221718315,0.4865333220505706,27.0,0.42929257946299465,0.4915580024911764,27.0,0.40994268077601415,0.48374811386761174,27.0,0.6666666666666666,0.48038446141526137,27.0,1.0,0.0,27.0,0.6666666666666666,0.48038446141526137
"1(p,(p,(e)))2p",39.0,0.3737313135975931,0.44204892611062274,39.0,0.37175602175602174,0.4468568893922835,39.0,0.3962352462352462,0.4525077764870448,39.0,0.6944444444444444,0.17135226418272337,39.0,0.34576904576904577,0.4413319131634468,39.0,0.3737313135975931,0.44204892611062274,39.0,0.407691603020966,0.45835019507592495,39.0,0.34576904576904577,0.4413319131634468,39.0,0.9743589743589743,0.16012815380508713,39.0,1.0,0.0,39.0,0.9743589743589743,0.16012815380508713
"10(i,(n,(p,(e))),(p,(p,(e))))pin",24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",35.0,0.007700101317122594,0.0455544137300477,35.0,0.02857142857142857,0.1690308509457033,35.0,0.004449648711943794,0.026324476786625924,35.0,0.012244897959183673,0.05335590901601298,35.0,0.004449648711943794,0.026324476786625924,35.0,0.007700101317122594,0.0455544137300477,35.0,0.028571413533842502,0.1690307619821444,35.0,0.004449648711943794,0.026324476786625924,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.013700585129156556,0.05619769106340405,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.02040816326530612,0.14285714285714282
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0
all,445.0,0.05891949311521205,0.22434452281543515,445.0,0.06023298798579698,0.22825119965222182,445.0,0.06097804066868836,0.23018006607202776,445.0,0.09704097400726613,0.24196967251421173,445.0,0.05552625364238921,0.2192231101225852,445.0,0.05891949311521205,0.22434452281543515,445.0,0.0640244306449506,0.23681276515471278,445.0,0.05552625364238921,0.2192231101225852,445.0,0.1258426966292135,0.3320452895299347,445.0,0.14831460674157304,0.3558115832595365,445.0,0.12808988764044943,0.33456599695191497
