,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",9.0,0.19528619528619529,0.37240411930961165,9.0,0.18386243386243387,0.36075117243775934,9.0,0.21141975308641975,0.39023686134975033,9.0,0.537037037037037,0.18215107011950002,9.0,0.17195767195767198,0.35109518032689946,9.0,0.19528619528619529,0.37240411930961165,9.0,0.2114195008147739,0.3902363931515191,9.0,0.17195767195767198,0.35109518032689946,9.0,0.8888888888888888,0.3333333333333333,9.0,1.0,0.0,9.0,0.8888888888888888,0.3333333333333333
"1(p,(p,(e)))2p",9.0,0.12643678160919541,0.3307470016077738,9.0,0.12280701754385964,0.33078434447306676,9.0,0.13333333333333333,0.33166247903554,9.0,0.7037037037037037,0.18685588954269042,9.0,0.11934156378600821,0.3311542859506582,9.0,0.12643678160919541,0.3307470016077738,9.0,0.13333323174611067,0.3316622406981731,9.0,0.11934156378600821,0.3311542859506582,9.0,0.8888888888888888,0.3333333333333333,9.0,1.0,0.0,9.0,0.8888888888888888,0.3333333333333333
"10(i,(n,(p,(e))),(p,(p,(e))))pin",4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.02797202797202797,0.09277272140854265,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,,1.0,0.0,
all,88.0,0.03290348627339223,0.16527447075812224,88.0,0.03136392116655274,0.1615263027056614,88.0,0.035258838383838385,0.1712416767470508,88.0,0.13039044289044288,0.26686235700240857,88.0,0.029791967291967293,0.15828278006321617,88.0,0.03290348627339223,0.16527447075812224,88.0,0.03525880219372683,0.1712415033228813,88.0,0.029791967291967293,0.15828278006321617,88.0,0.18181818181818182,0.3879049103011415,88.0,0.20454545454545456,0.4056806656815641,88.0,0.18181818181818182,0.3879049103011415
