,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",68.0,0.09656340535811017,0.2858961877761996,68.0,0.09588844540890577,0.28514506398839035,68.0,0.10694701949547726,0.29337755375908714,68.0,0.48161764705882354,0.19468773538874748,68.0,0.09286214940126991,0.28519555240552896,68.0,0.09656340535811017,0.2858961877761996,68.0,0.109041268585728,0.29315222349491954,68.0,0.09286214940126991,0.28519555240552896,68.0,0.6911764705882353,0.4654432309413774,68.0,0.9705882352941176,0.17021393345759914,68.0,0.6911764705882353,0.4654432309413774
"1(p,(p,(e)))2p",68.0,0.046352177234530174,0.20114429325546496,68.0,0.044541500810850655,0.19633638552344018,68.0,0.06092436974789915,0.2371474509157501,68.0,0.5399509803921569,0.21618085040526427,68.0,0.04357188219417322,0.19600613304789738,68.0,0.046352177234530174,0.20114429325546496,68.0,0.06092419904543663,0.23714677037220766,68.0,0.04357188219417322,0.19600613304789738,68.0,0.5735294117647058,0.4982409795961212,68.0,0.9852941176470589,0.12126781251816648,68.0,0.5735294117647058,0.4982409795961212
"10(i,(n,(p,(e))),(p,(p,(e))))pin",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0021008403361344537,0.017323973216880922,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.00784313725490196,0.06467616667635544,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.014705882352941176,0.12126781251816648
"4(p,(i,(n,(p,(e))),(p,(e))))inp",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.006184012066365007,0.03709191765529333,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.009461127108185932,0.05984915412814722,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.006787330316742081,0.05596975962376914,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.00267379679144385,0.022048693185121173,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.004524886877828054,0.03731317308251275,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.014705882352941176,0.12126781251816648
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
all,884.0,0.010993506353280027,0.10017219784998439,884.0,0.010802303555365877,0.09918876917294546,884.0,0.012913183787952033,0.10861778639433316,884.0,0.08162644293866013,0.20293811423637223,884.0,0.010494925507341778,0.09892800460354188,884.0,0.010993506353280027,0.10017219784998439,884.0,0.01307426674085882,0.10871252277495277,884.0,0.010494925507341778,0.09892800460354188,884.0,0.09728506787330317,0.29651330596590636,884.0,0.1504524886877828,0.3577167733359022,884.0,0.09954751131221719,0.2995652172247687
