,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",13.0,0.6923076923076923,0.48038446141526137,13.0,0.6923076923076923,0.48038446141526137,13.0,0.6923076923076923,0.48038446141526137,13.0,0.7435897435897435,0.2935682819759931,13.0,0.6923076923076923,0.48038446141526137,13.0,0.6923076923076923,0.48038446141526137,13.0,0.6923071702005127,0.48038409913119234,13.0,0.6923076923076923,0.48038446141526137,13.0,0.8461538461538461,0.3755338080994054,13.0,1.0,0.0,13.0,0.8461538461538461,0.3755338080994054
"1(p,(p,(e)))2p",11.0,0.3963636363636363,0.48512416405025066,11.0,0.3939393939393939,0.49031014715590016,11.0,0.40209790209790214,0.48203330324058363,11.0,0.75,0.15811388300841897,11.0,0.3793706293706294,0.4828486499098262,11.0,0.3963636363636363,0.48512416405025066,11.0,0.4090902343974699,0.49082426978268234,11.0,0.3793706293706294,0.4828486499098262,11.0,1.0,0.0,11.0,1.0,0.0,11.0,1.0,0.0
"10(i,(n,(p,(e))),(p,(p,(e))))pin",11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0
all,178.0,0.0750561797752809,0.26123186486621736,178.0,0.0749063670411985,0.2615939790786089,178.0,0.0754105445116681,0.2613505716036366,178.0,0.10065543071161047,0.26950794692823427,178.0,0.07400605012964563,0.2597226205619386,178.0,0.0750561797752809,0.26123186486621736,178.0,0.0758426168032519,0.2628193492775368,178.0,0.07400605012964563,0.2597226205619386,178.0,0.12359550561797752,0.3300479238990633,178.0,0.1348314606741573,0.3425069172778341,178.0,0.12359550561797752,0.3300479238990633
