,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",687.0,0.775153938270916,0.39825130273338366,687.0,0.7788971056541613,0.3978065201785437,687.0,0.7869332269383645,0.3963413059948766,687.0,0.7728044638524987,0.3282926872960121,687.0,0.7646504543956837,0.4074774291348292,687.0,0.775153938270916,0.39825130273338366,687.0,0.7983815316733591,0.3891142902509868,687.0,0.7646504543956837,0.4074774291348292,687.0,0.8020378457059679,0.39875379306897824,687.0,0.9374090247452693,0.24240229934745003,687.0,0.8020378457059679,0.39875379306897824
"1(p,(p,(e)))2p",687.0,0.6673455553832464,0.4458533864095001,687.0,0.6762393639594851,0.44656690206036587,687.0,0.6765593548780249,0.448966758642577,687.0,0.7580786026200873,0.2284895593882872,687.0,0.6506181476862699,0.4505612771642963,687.0,0.6673455553832464,0.4458533864095001,687.0,0.6986632211079083,0.4459163254402788,687.0,0.6506181476862699,0.4505612771642963,687.0,0.9446870451237264,0.22875664598576217,687.0,0.9592430858806404,0.19787061180361362,687.0,0.9446870451237264,0.22875664598576217
"10(i,(n,(p,(e))),(p,(p,(e))))pin",687.0,0.016049588825624482,0.11909150982848385,687.0,0.01876111919780042,0.13524792845596717,687.0,0.01494943340497641,0.11354657591338588,687.0,0.010480349344978166,0.06938210486817678,687.0,0.014805224951657136,0.11242589939200998,687.0,0.016049588825624482,0.11909150982848385,687.0,0.018837213429739295,0.13575196054020647,687.0,0.014805224951657136,0.11242589939200998,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",687.0,0.028044130951548063,0.15510022518033506,687.0,0.026100889404538117,0.1457924045995973,687.0,0.031004366812227076,0.1695887969153982,687.0,0.016143972475850206,0.08010665135946103,687.0,0.025450046825876378,0.14340036605230416,687.0,0.028044130951548063,0.15510022518033506,687.0,0.031209805263651573,0.17060416787977908,687.0,0.025450046825876378,0.14340036605230416,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.011644832605531296,0.10735924637880924
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",687.0,0.029266442135048053,0.16103671056916183,687.0,0.034934497816593885,0.183747719893835,687.0,0.027314856158239417,0.15307922268955615,687.0,0.01151486795591599,0.0557540717809732,687.0,0.027314856158239417,0.15307922268955615,687.0,0.029266442135048053,0.16103671056916183,687.0,0.03493448571359126,0.18374765623472242,687.0,0.027314856158239417,0.15307922268955615,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",687.0,0.0013862895958965827,0.03633559970078644,687.0,0.001455604075691412,0.038152379685825785,687.0,0.001323276432446738,0.034683981532568915,687.0,0.0006873685912987223,0.01275230073140488,687.0,0.001323276432446738,0.034683981532568915,687.0,0.0013862895958965827,0.03633559970078644,687.0,0.001455603590490215,0.03815236696837014,687.0,0.001323276432446738,0.034683981532568915,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",687.0,0.02367949529521582,0.15000435410621282,687.0,0.024745269286754003,0.15546099237066038,687.0,0.02320494751353558,0.1483326977973067,687.0,0.01054820967484723,0.06444109910544911,687.0,0.02320494751353558,0.1483326977973067,687.0,0.02367949529521582,0.15000435410621282,687.0,0.02474525860321048,0.1554609252518013,687.0,0.02320494751353558,0.1483326977973067,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.001455604075691412,0.0381523796858258
"4(p,(i,(n,(p,(e))),(p,(e))))inp",687.0,0.009786424814087783,0.0952225633892976,687.0,0.009692880357778526,0.0938289249952013,687.0,0.01041064289353668,0.1006131708459758,687.0,0.0029559959690964054,0.02708764972972099,687.0,0.009371327425173805,0.09348481154856687,687.0,0.009786424814087783,0.0952225633892976,687.0,0.010661630796178632,0.10086036010271418,687.0,0.009371327425173805,0.09348481154856687,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",687.0,0.024596813194364967,0.14855021471014684,687.0,0.025398247232308366,0.1527802338832827,687.0,0.02519462921167995,0.15336442442820028,687.0,0.010016184688673772,0.05927428801630291,687.0,0.02314825097531555,0.14305683740330027,687.0,0.024596813194364967,0.14855021471014684,687.0,0.027369070833761805,0.1623362327846298,687.0,0.02314825097531555,0.14305683740330027,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",687.0,0.0456144842795314,0.1867576757800184,687.0,0.06424065987384765,0.24498983864547944,687.0,0.04187942000092297,0.17451994302391732,687.0,0.039682458896432696,0.12408897364509693,687.0,0.03916229239296567,0.16665904670429227,687.0,0.0456144842795314,0.1867576757800184,687.0,0.06695773299244077,0.25013078771494873,687.0,0.03916229239296567,0.16665904670429227,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.08296943231441048,0.2760369856225819
"7(i,(p,(e)),(p,(p,(e))))pi",687.0,0.01933737754007635,0.12889804801163052,687.0,0.024745269286754003,0.15546099237066038,687.0,0.017652390871313855,0.12202710732356234,687.0,0.01458997092184865,0.085109619735108,687.0,0.017652390871313855,0.12202710732356234,687.0,0.01933737754007635,0.12889804801163052,687.0,0.024745251384544604,0.1554608799009626,687.0,0.017652390871313855,0.12202710732356234,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.001455604075691412,0.03815237968582579
"8(i,(n,(p,(e))),(p,(e)))2in",687.0,0.05247780918898716,0.20112136010944293,687.0,0.08027857327515851,0.2665383031512873,687.0,0.08719053585323899,0.2721670128964994,687.0,0.05234474404780081,0.1353856410653434,687.0,0.04668821079988828,0.191996662041506,687.0,0.05247780918898716,0.20112136010944293,687.0,0.12073851226886467,0.3248610563011072,687.0,0.04668821079988828,0.191996662041506,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.046579330422125184,0.21088962413147508
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",687.0,0.02409522486443658,0.14516525159947677,687.0,0.02698555481229462,0.1600350416062848,687.0,0.023889964766516728,0.14232652546689153,687.0,0.015641810236697147,0.06813424834519642,687.0,0.0222413814851463,0.13724082622237832,687.0,0.02409522486443658,0.14516525159947677,687.0,0.028418300218502855,0.16429654599850507,687.0,0.0222413814851463,0.13724082622237832,687.0,0.0,0.0,687.0,0.0,0.0,687.0,0.001455604075691412,0.038152379685825785
all,8931.0,0.13206412110299845,0.33018273389725084,8931.0,0.1378826949410128,0.3398116882071281,8931.0,0.1359620804411557,0.33623133578015674,8931.0,0.13196069225200197,0.3011934030980221,8931.0,0.12812544676257787,0.32553507191008885,8931.0,0.13206412110299845,0.33018273389725084,8931.0,0.14516289368278798,0.34952841924933314,8931.0,0.12812544676257787,0.32553507191008885,8931.0,0.13436345314074571,0.3410614903905854,8931.0,0.14589631620199306,0.35302200395032357,8931.0,0.14556040756914118,0.3526847073768329
